university,label,value,year
Alabama A & M University,"Total Expenses (In-State, 2024–2025)",27732.0,2024–2025
Amridge University,Total Expenses (In-State),20630.0,2024–2025
Amridge University,Total Expenses (Out-of-State),20630.0,2024–2025
Alabama State University,"Total Expenses (In-State, 2024–2025)",23848.0,2024–2025
Central Alabama Community College,Total Expenses (In-State),28987.0,2024–2025
Athens State University,Total Expenses (In-State),10020.0,2024–2025
Athens State University,Total Expenses (Out-of-State),18240.0,2024–2025
Auburn University at Montgomery,"Total Expenses (In-State, 2024–2025)",23113.0,2024–2025
Chattahoochee Valley Community College,Total Expenses (In-State),23360.0,2024–2025
Chattahoochee Valley Community College,Total Expenses (Out-of-State),27230.0,2024–2025
Enterprise State Community College,Total Expenses (In-State) 2024–2025,26696.0,2024–2025
Coastal Alabama Community College,"Total Expenses (In-State, 2024–2025)",25990.0,2024–2025
Coastal Alabama Community College,"Total Expenses (Out-of-State, 2024–2025)",29860.0,2024–2025
Gadsden State Community College,"Total Expenses (In-State, 2024–2025)",13596.0,2024–2025
Gadsden State Community College,"Total Expenses (Out-of-State, 2024–2025)",16692.0,2024–2025
George C Wallace Community College-Dothan,Total Expenses (In-State),16630.0,2024–2025
George C Wallace Community College-Dothan,Total Expenses (Out-of-State),20500.0,2024–2025
George C Wallace State Community College-Hanceville,"Total Expenses (In-State, 2024–2025)",20840.0,2024–2025
George C Wallace State Community College-Hanceville,"Total Expenses (Out-of-State, 2024–2025)",29480.0,2024–2025
George C Wallace State Community College-Selma,Total Expenses (In-State),28140.0,2024–2025
Herzing University-Birmingham,Total Expenses (In-State),28413.0,2024–2025
Herzing University-Birmingham,Total Expenses (Out-of-State),28443.0,2024–2025
Heritage Christian University,Total Expenses (On Campus) 2024–2025,24212.0,2024–2025
Heritage Christian University,Total Expenses (Off Campus with Family) 2024–2025,17605.0,2024–2025
J. F. Drake State Community and Technical College,Total Expenses (In-State),20690.0,2024–2025
J. F. Drake State Community and Technical College,Total Expenses (Out-of-State),24560.0,2024–2025
J F Ingram State Technical College,Total Expenses (In-State),6084.0,2024–2025
Jacksonville State University,"Total Expenses (In-State, 2024–2025)",27240.0,2024–2025
Jefferson State Community College,Total Expenses (In-State) 2024–2025,25892.0,2024–2025
Jefferson State Community College,Total Expenses (Out-of-State) 2024–2025,29762.0,2024–2025
John C Calhoun State Community College,Total Expenses (In-State),23570.0,2024–2025
John C Calhoun State Community College,Total Expenses (Out-of-State),27440.0,2024–2025
Lawson State Community College,"Total Expenses (In-State, 2024–2025)",15100.0,2024–2025
Lawson State Community College,"Total Expenses (Out-of-State, 2024–2025)",18970.0,2024–2025
University of West Alabama,"Total Expenses (In-State, 2024–2025)",24026.0,2024–2025
Lurleen B Wallace Community College,"Total Expenses (In-State, 2024–2025)",15606.0,2024–2025
Lurleen B Wallace Community College,"Total Expenses (Out-of-State, 2024–2025)",19457.0,2024–2025
Marion Military Institute,Total Expenses (In-State),18743.0,2024–2025
Marion Military Institute,Total Expenses (Out-of-State),24743.0,2024–2025
Miles College,Total Expenses (In-State),23744.0,2024–2025
Miles College,Total Expenses (Out-of-State),26801.0,2024–2025
University of Montevallo,"Total Expenses (In-State, 2024–2025)",29520.0,2024–2025
Northwest Shoals Community College,Total Expenses (In-State),20377.0,2024–2025
Northwest Shoals Community College,Total Expenses (Out-of-State),24187.0,2024–2025
University of North Alabama,"Total Expenses (In-State, 2024–2025)",28880.0,2024–2025
Northeast Alabama Community College,Total Expenses (In-State),21610.0,2024–2025
Northeast Alabama Community College,Total Expenses (Out-of-State),25480.0,2024–2025
Reid State Technical College,"Total Expenses (In-State, 2024–2025)",15854.0,2024–2025
Reid State Technical College,"Total Expenses (Out-of-State, 2024–2025)",19724.0,2024–2025
Bishop State Community College,"Total Expenses (In-State, 2024-2025)",28392.0,2024–2025
Selma University,Total Expenses (In-State),11600.0,2024–2025
Selma University,Total Expenses (Out-of-State),17600.0,2024–2025
Shelton State Community College,"Total Expenses (In-State, 2024–2025)",27027.0,2024–2025
Snead State Community College,"Total Expenses (In-State, 2024–2025)",13722.0,2024–2025
Snead State Community College,"Total Expenses (Out-of-State, 2024–2025)",18108.0,2024–2025
University of South Alabama,"Total Expenses (In-State, 2024-2025)",25809.0,2024–2025
Stillman College,Total Expenses (In-State),27470.0,2024–2025
Stillman College,Total Expenses (Out-of-State),29838.0,2024–2025
Talladega College,Total Expenses (In-State),25654.0,2024–2025
Talladega College,Total Expenses (Out-of-State),22150.0,2024–2025
H Councill Trenholm State Community College,Total Expenses (In-State),24290.0,2024–2025
H Councill Trenholm State Community College,Total Expenses (Out-of-State),28160.0,2024–2025
United States Sports Academy,Total Expenses (In-State),27840.0,2024–2025
Bevill State Community College,"Total Expenses (In-State, 2024–2025)",15954.0,2024–2025
Bevill State Community College,"Total Expenses (Out-of-State, 2024–2025)",23094.0,2024–2025
Alaska Bible College,Total Expenses (In-State),21185.0,2024–2025
Alaska Bible College,Total Expenses (Out-of-State),28564.0,2024–2025
University of Alaska Fairbanks,"Total Expenses (In-State, 2024–2025)",24276.0,2024–2025
University of Alaska Southeast,"Total Expenses (In-State, 2024–2025)",29190.0,2024–2025
