university,label,value,year,error
Alabama A & M University,"Total Expenses (In-State, 2024–2025)","$27,732",2024–2025,
Alabama A & M University,"Total Expenses (Out-of-State, 2024–2025)","$36,342",2024–2025,
University of Alabama at Birmingham,"Total Expenses (In-State, 2024–2025)","$30,249",2024–2025,
University of Alabama at Birmingham,"Total Expenses (Out-of-State, 2024–2025)","$43,713",2024–2025,
Amridge University,Total Expenses (In-State),"$20,630",2024–2025,
Amridge University,Total Expenses (Out-of-State),"$20,630",2024–2025,
University of Alabama in Huntsville,"Total Expenses (In-State, 2024–2025)","$32,089",2024–2025,
University of Alabama in Huntsville,"Total Expenses (Out-of-State, 2024–2025)","$46,365",2024–2025,
Alabama State University,"Total Expenses (In-State, 2024–2025)","$23,848",2024–2025,
Alabama State University,"Total Expenses (Out-of-State, 2024–2025)","$32,176",2024–2025,
The University of Alabama,"Total Expenses (In-State, 2024–2025)","$33,924",2024–2025,
The University of Alabama,"Total Expenses (Out-of-State, 2024–2025)","$55,916",2024–2025,
Central Alabama Community College,Total Expenses (In-State),"$28,987",2024–2025,
Central Alabama Community College,Total Expenses (Out-of-State),"$32,857",2024–2025,
Athens State University,Total Expenses (In-State),"$10,020",2024–2025,
Athens State University,Total Expenses (Out-of-State),"$18,240",2024–2025,
Auburn University at Montgomery,"Total Expenses (In-State, 2024–2025)","$23,113",2024–2025,
Auburn University at Montgomery,"Total Expenses (Out-of-State, 2024–2025)","$34,081",2024–2025,
Auburn University,"Total Expenses (In-State, 2024–2025)","$36,882",2024–2025,
Auburn University,"Total Expenses (Out-of-State, 2024–2025)","$58,914",2024–2025,
Chattahoochee Valley Community College,Total Expenses (In-State),"$23,360",2024–2025,
Chattahoochee Valley Community College,Total Expenses (Out-of-State),"$27,230",2024–2025,
South University-Montgomery,Total Expenses (In-State),"$36,528",2024–2025,
Enterprise State Community College,Total Expenses (In-State) 2024–2025,"$26,696",2024–2025,
Enterprise State Community College,Total Expenses (Out-of-State) 2024–2025,"$30,566",2024–2025,
Coastal Alabama Community College,"Total Expenses (In-State, 2024–2025)","$25,990",2024–2025,
Coastal Alabama Community College,"Total Expenses (Out-of-State, 2024–2025)","$29,860",2024–2025,
Faulkner University,Total Expenses (In-State),"$38,670",2024–2025,
Faulkner University,Total Expenses (Out-of-State),"$38,670",2024–2025,
Gadsden State Community College,"Total Expenses (In-State, 2024–2025)","$13,596",2024–2025,
Gadsden State Community College,"Total Expenses (Out-of-State, 2024–2025)","$16,692",2024–2025,
New Beginning College of Cosmetology,Total Expenses (In-State),"$39,562",2024–2025,
New Beginning College of Cosmetology,Total Expenses (Out-of-State),"$39,562",2024–2025,
George C Wallace Community College-Dothan,Total Expenses (In-State),"$16,630",2024–2025,
George C Wallace Community College-Dothan,Total Expenses (Out-of-State),"$20,500",2024–2025,
George C Wallace State Community College-Hanceville,"Total Expenses (In-State, 2024–2025)","$20,840",2024–2025,
George C Wallace State Community College-Hanceville,"Total Expenses (Out-of-State, 2024–2025)","$29,480",2024–2025,
George C Wallace State Community College-Selma,Total Expenses (In-State),"$28,140",2024–2025,
George C Wallace State Community College-Selma,Total Expenses (Out-of-State),"$32,010",2024–2025,
Herzing University-Birmingham,Total Expenses (In-State),"$28,413",2024–2025,
Herzing University-Birmingham,Total Expenses (Out-of-State),"$28,443",2024–2025,
Huntingdon College,Total Expenses (In-State),"$42,360",2024–2025,
Huntingdon College,Total Expenses (Out-of-State),"$40,360",2024–2025,
Heritage Christian University,Total Expenses (On Campus) 2024–2025,"$24,212",2024–2025,
Heritage Christian University,Total Expenses (Off Campus) 2024–2025,"$33,319",2024–2025,
Heritage Christian University,Total Expenses (Off Campus with Family) 2024–2025,"$17,605",2024–2025,
J. F. Drake State Community and Technical College,Total Expenses (In-State),"$20,690",2024–2025,
J. F. Drake State Community and Technical College,Total Expenses (Out-of-State),"$24,560",2024–2025,
J F Ingram State Technical College,Total Expenses (In-State),"$6,084",2024–2025,
Jacksonville State University,"Total Expenses (In-State, 2024–2025)","$27,240",2024–2025,
Jacksonville State University,"Total Expenses (Out-of-State, 2024–2025)","$37,680",2024–2025,
