university,major,error
Charter College,Veterinary/Animal Health Technology/Technician and Veterinary Assistant,
Charter College,"Administrative Assistant and Secretarial Science, General",
Charter College,"Business Administration and Management, General",
Charter College,"Computer and Information Sciences, General",
Charter College,Computer Systems Networking and Telecommunications,
Charter College,"Construction Trades, General",
Charter College,CAD/CADD Drafting and/or Design Technology/Technician,
Charter College,Dental Assisting/Assistant,
Charter College,"Health Services/Allied Health/Health Sciences, General",
Charter College,Health Unit Coordinator/Ward Clerk,
Charter College,Health/Health Care Administration/Management,
Charter College,Medical Insurance Coding Specialist/Coder,
Charter College,Medical Office Management/Administration,
Charter College,Medical/Clinical Assistant,
Charter College,Pharmacy Technician/Assistant,
Charter College,Phlebotomy Technician/Phlebotomist,
Charter College,Registered Nursing/Registered Nurse,
Charter College,Cybersecurity Defense Strategy/Policy,
Charter College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",
Charter College,Welding Technology/Welder,
Alaska Career College,"Business, Management, Marketing, and Related Support Services",
Alaska Career College,Accounting and Business/Management,
Alaska Career College,"Business Administration and Management, General",
Alaska Career College,"Human Resources Management/Personnel Administration, General",
Alaska Career College,Health Professions and Related Programs,
Alaska Career College,Massage Therapy/Therapeutic Massage,
Alaska Career College,Medical Insurance Coding Specialist/Coder,
Alaska Career College,Medical/Clinical Assistant,
Alaska Career College,Phlebotomy Technician/Phlebotomist,
Empire Beauty School-Tucson,Aesthetician/Esthetician and Skin Care Specialist,
Empire Beauty School-Tucson,"Cosmetology, Barber/Styling, and Nail Instructor",
Empire Beauty School-Tucson,"Cosmetology/Cosmetologist, General",
Carrington College-Phoenix North,Veterinary/Animal Health Technology/Technician and Veterinary Assistant,
Carrington College-Phoenix North,"Construction Trades, General",
Carrington College-Phoenix North,Electrician,
Carrington College-Phoenix North,Dental Assisting/Assistant,
Carrington College-Phoenix North,"Health and Wellness, General",
Carrington College-Phoenix North,Medical Insurance Specialist/Medical Biller,
Carrington College-Phoenix North,Medical/Clinical Assistant,
Carrington College-Phoenix North,Pharmacy Technician/Assistant,
Carrington College-Phoenix North,Registered Nursing/Registered Nurse,
Carrington College-Phoenix North,Respiratory Therapy Technician/Assistant,
Carrington College-Phoenix North,Surgical Technology/Technologist,
Carrington College-Phoenix North,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",
Carrington College-Phoenix North,Industrial Mechanics and Maintenance Technology/Technician,
Carrington College-Mesa,Veterinary/Animal Health Technology/Technician and Veterinary Assistant,
Carrington College-Mesa,Dental Assisting/Assistant,
Carrington College-Mesa,Dental Hygiene/Hygienist,
Carrington College-Mesa,Medical Insurance Specialist/Medical Biller,
Carrington College-Mesa,Medical/Clinical Assistant,
Carrington College-Mesa,Pharmacy Technician/Assistant,
Carrington College-Mesa,Physical Therapy Assistant,
Carrington College-Tucson,Veterinary/Animal Health Technology/Technician and Veterinary Assistant,
