university,city,state,website
Charter College,Anchorage,AK,http://https://chartercollege.edu/
Alaska Career College,Anchorage,AK,http://www.alaskacareercollege.edu/
Empire Beauty School-Tucson,Tucson,AZ,http://www.empire.edu/
Carrington College-Phoenix North,Phoenix,AZ,http://https://carrington.edu/
Carrington College-Mesa,Mesa,AZ,http://https://carrington.edu/
Carrington College-Tucson,Tucson,AZ,http://https://carrington.edu/
Arizona Academy of Beauty,Tucson,AZ,http://www.arizonaacademy.com/
Miller-Motte College-Arizona Automotive Institute,Glendale,AZ,http://www.aai.edu/
Brookline College-Phoenix,Phoenix,AZ,http://www.brooklinecollege.edu/
Arizona State University Campus Immersion,Tempe,AZ,http://www.asu.edu/
Arizona Western College,Yuma,AZ,http://https://www.azwestern.edu/
University of Arizona,Tucson,AZ,http://https://www.arizona.edu/
Central Arizona College,Coolidge,AZ,http://www.centralaz.edu/
Charles of Italy Beauty College,Lake Havasu City,AZ,http://www.charlesofitaly.edu/
Cochise County Community College District,Sierra Vista,AZ,http://https://www.cochise.edu/
Empire Beauty School-Chandler,Chandler,AZ,http://www.empire.edu/
Avalon Institute-Mesa,Mesa,AZ,http://avalon.edu/mesa-az/
Eastern Arizona College,Thatcher,AZ,http://www.eac.edu/
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,http://prescott.erau.edu/
The School of Architecture,Scottsdale,AZ,http://https://tsoa.edu/
Glendale Community College,Glendale,AZ,http://www.gccaz.edu/
Grand Canyon University,Phoenix,AZ,http://www.gcu.edu/
GateWay Community College,Phoenix,AZ,http://www.gatewaycc.edu/
Mesa Community College,Mesa,AZ,http://www.mesacc.edu/
Mohave Community College,Kingman,AZ,http://https://www.mohave.edu/
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Avondale,AZ,http://www.uti.edu/
Dine College,Tsaile,AZ,http://https://www.dinecollege.edu/
Northern Arizona University,Flagstaff,AZ,http://https://nau.edu/
Northland Pioneer College,Holbrook,AZ,http://www.npc.edu/
Phoenix College,Phoenix,AZ,http://www.phoenixcollege.edu/
Pima Community College,Tucson,AZ,http://www.pima.edu/
Pima Medical Institute-Tucson,Tucson,AZ,http://https://pmi.edu/
Pima Medical Institute-Albuquerque,Albuquerque,NM,http://https://pmi.edu/
Prescott College,Prescott,AZ,http://https://prescott.edu/
Refrigeration School Inc,Phoenix,AZ,http://https://www.rsi.edu/
Rio Salado College,Tempe,AZ,http://www.rio.maricopa.edu/
Roberto-Venn School of Luthiery,Phoenix,AZ,http://www.roberto-venn.com/
Scottsdale Community College,Scottsdale,AZ,http://www.scottsdalecc.edu/
South Mountain Community College,Phoenix,AZ,http://www.southmountaincc.edu/
Arizona Christian University,Glendale,AZ,http://arizonachristian.edu/
Universal Technical Institute of Arizona Inc,Avondale,AZ,http://www.uti.edu/
Yavapai College,Prescott,AZ,http://https://www.yc.edu/
University of Arkansas at Little Rock,Little Rock,AR,http://ualr.edu/www/
University of Arkansas for Medical Sciences,Little Rock,AR,http://https://www.uams.edu/
Arkansas Baptist College,Little Rock,AR,http://https://www.arkansasbaptist.edu/
Arkansas Beauty School-Little Rock,Little Rock,AR,http://arbs.edu/
Arkansas Beauty College,Russellville,AR,http://https://www.arkansasbeautycollege.us/
